Time,RPM,TRQU
0,Inf,-14.66729731
0.00390625,76.875,-13.52363319
0.0078125,76.875,-12.0685348
0.01171875,76.875,-11.18713112
0.015625,75.9375,-11.49036975
0.01953125,77.8125,-11.97018714
0.0234375,77.8125,-11.26498968
0.02734375,78.75,-9.576315591
0.03125,79.6875,-8.715401003
0.03515625,79.6875,-9.670565435
0.0390625,80.625,-9.777108738
0.04296875,80.625,-8.584270784
0.046875,81.5625,-9.014541814
0.05078125,83.4375,-8.039260814
0.0546875,82.5,-8.231858322
0.05859375,83.4375,-8.969465801
0.0625,84.375,-9.195218393
0.06640625,85.3125,-8.035162994
0.0703125,87.61904907,-6.834129402
0.07421875,86.25,-8.91619415
0.078125,86.25,-10.96175105
0.08203125,88.125,-10.8224252
0.0859375,87.69231415,-10.16230375
0.08984375,89.0625,-10.06395609
0.09375,88.125,-12.15458901
0.09765625,90,-13.36381824
0.1015625,90.9375,-13.22449238
0.10546875,90.9375,-12.9745254
0.109375,91.875,-13.822774
0.11328125,90.9375,-16.35187359
0.1171875,90.9375,-17.40128786
0.12109375,92.8125,-14.6017322
0.125,90.9375,-16.17976517
0.12890625,90,-27.61640639
0.1328125,90.9375,-19.20507343
0.13671875,90,-18.79082114
0.140625,89.0625,-18.42611522
0.14453125,89.0625,-21.37766273
0.1484375,87.1875,-20.34054191
0.15234375,87.1875,-16.85218007
0.15625,86.25,-19.63944227
0.16015625,85.3125,-20.70115001
0.1640625,83.4375,-20.97160608
0.16796875,83.4375,-20.49625904
0.171875,82.5,-20.09839804
0.17578125,80.625,-20.14384658
0.1796875,80.625,-18.87687535
0.18359375,80,-18.92642171
0.1875,77.8125,-19.03706283
0.19140625,77.8125,-18.26220245
0.1953125,77.8125,-18.8236037
0.19921875,74.7692337,-16.83988661
0.203125,75.9375,-16.22074337
0.20703125,75,-15.94209165
0.2109375,75.9375,-15.64295084
0.21484375,75.9375,-14.14687426
0.21875,75,-13.07697088
0.22265625,75.9375,-13.11385126
0.2265625,75,-14.43781943
0.23046875,76.875,-12.93354721
0.234375,77.8125,-10.02707572
0.23828125,77.8125,-10.27294488
0.2421875,77.8125,-10.82652301
0.24609375,78.75,-10.61343641
0.25,80.625,-8.219564864
0.25390625,81.5625,-7.09229202
0.2578125,80.625,-9.482065746
0.26171875,82.5,-10.73637099
0.265625,83.4375,-7.920424053
0.26953125,83.4375,-7.797116944
0.2734375,84.375,-8.97766144
0.27734375,84.375,-9.494359204
0.28125,84.375,-9.736130544
0.28515625,86.25,-8.924389788
0.2890625,86.25,-9.030933091
0.29296875,87.61904907,-10.22377104
0.296875,87.1875,-10.39215417
0.30078125,87.1875,-10.83881647
0.3046875,88.125,-9.699250171
0.30859375,85.84615326,-10.89208812
0.3125,88.125,-12.40045817
0.31640625,88.125,-12.18327374
0.3203125,89.0625,-12.27752359
0.32421875,88.125,-12.449632
0.328125,89.0625,-13.34332914
0.33203125,88.125,-15.03200323
0.3359375,89.0625,-14.97053594
0.33984375,89.0625,-14.51158018
0.34375,88.125,-15.89701564
0.34765625,88.125,-15.63885302
0.3515625,88.125,-17.20869035
0.35546875,87.1875,-17.14312524
0.359375,88.125,-15.5077228
0.36328125,86.25,-17.10624487
0.3671875,86.25,-18.22532208
0.37109375,85.3125,-17.78685541
0.375,85.3125,-16.91364736
0.37890625,84.375,-13.72852416
0.3828125,83.4375,-18.22122426
0.38671875,83.4375,-18.50807161
0.390625,82.5,-17.0693645
0.39453125,82.5,-16.20025427
0.3984375,80.625,-17.0488754
0.40234375,80.625,-18.54495198
0.40625,82.85714722,-17.90569217
0.41015625,80.625,-15.75359196
0.4140625,79.6875,-15.72900505
0.41796875,78.46154022,-16.39285178
0.421875,78.75,-15.83554835
0.42578125,79.6875,-15.04429669
0.4296875,79.6875,-13.91292603
0.43359375,79.6875,-13.70803506
0.4375,78.75,-13.35152478
0.44140625,79.6875,-13.822774
0.4453125,80.625,-13.482655
0.44921875,80.625,-13.06467743
0.453125,81.5625,-12.64222951
0.45703125,80.625,-12.36357779
0.4609375,81.5625,-12.90486247
0.46484375,82.5,-13.67935033
0.46875,83.4375,-11.52352483
0.47265625,83.4375,-11.84315474
0.4765625,83.4375,-14.29849357
0.48046875,84.375,-14.22063501
0.484375,84.375,-8.932585427
0.48828125,86.25,-15.01970977
0.4921875,85.3125,-11.55630738
