Time,RPM,TRQU
0,Inf,-10.64657971
0.00390625,51.76470566,-20.12781605
0.0078125,50.625,-21.22603163
0.01171875,51.5625,-20.64823911
0.015625,50.625,-20.18518552
0.01953125,50.625,-20.07864222
0.0234375,51.5625,-21.48456678
0.02734375,50.42801666,-23.18143651
0.03125,51.76470566,-20.26304409
0.03515625,50.625,-20.07044658
0.0390625,51.5625,-20.92689082
0.04296875,50.625,-19.36115131
0.046875,51.5625,-20.64004347
0.05078125,51.5625,-19.91435692
0.0546875,51.36186981,-19.99221548
0.05859375,51.5625,-20.96377119
0.0625,51.76470566,-21.38621911
0.06640625,51.5625,-19.19723853
0.0703125,52.5,-20.45973942
0.07421875,51.5625,-21.74682721
0.078125,52.5,-22.32871756
0.08203125,51.36186981,-21.63208827
0.0859375,52.5,-22.16890261
0.08984375,51.76470566,-22.13612005
0.09375,52.5,-22.30003282
0.09765625,51.5625,-22.18119606
0.1015625,52.5,-21.02523848
0.10546875,51.5625,-21.54193625
0.109375,51.5625,-21.81649014
0.11328125,51.36186981,-21.74682721
0.1171875,52.70588303,-20.22616371
0.12109375,51.5625,-22.48443469
0.125,51.5625,-21.88205525
0.12890625,51.5625,-22.01318547
0.1328125,51.5625,-22.61183962
0.13671875,51.36186981,-22.56676361
0.140625,50.625,-22.03367457
0.14453125,51.76470566,-21.615697
0.1484375,50.625,-22.11153313
0.15234375,50.625,-21.78370759
0.15625,50.625,-21.58701226
0.16015625,51.5625,-21.23422727
0.1640625,50.625,-21.44358858
0.16796875,49.49416351,-22.52541289
0.171875,50.82352829,-21.70584902
0.17578125,49.6875,-20.68511948
0.1796875,50.625,-21.26700982
0.18359375,49.6875,-21.18915126
0.1875,50.625,-20.67692384
0.19140625,49.49416351,-20.27943537
0.1953125,50.625,-20.77117369
0.19921875,50.82352829,-19.17265162
0.203125,50.625,-19.35295567
0.20703125,51.5625,-18.63956258
0.2109375,50.625,-18.58629093
0.21484375,51.5625,-19.53735754
0.21875,51.5625,-19.49637935
0.22265625,51.36186981,-19.66029212
0.2265625,52.70588303,-19.00873885
0.23046875,52.5,-19.92665037
0.234375,51.5625,-20.14010951
0.23828125,52.5,-19.56604227
0.2421875,52.5,-20.287631
0.24609375,52.5,-20.41876122
0.25,52.29572296,-21.42719731
0.25390625,52.70588303,-20.76297805
0.2578125,52.5,-20.31221792
0.26171875,52.5,-21.00884721
0.265625,51.5625,-21.52554497
0.26953125,51.5625,-21.21783599
0.2734375,51.5625,-24.2554377
0.27734375,51.36186981,-22.32871756
0.28125,50.82352829,-18.48794326
0.28515625,50.625,-21.21783599
0.2890625,50.625,-21.44358858
0.29296875,49.6875,-21.48046896
0.296875,50.625,-7.195098251
0.30078125,49.6875,-18.2625632
0.3046875,48.56031418,-19.82420489
0.30859375,49.6875,-20.3081201
0.3125,49.88235474,-19.98811766
0.31640625,50.625,-17.79131398
0.3203125,49.6875,-18.43467161
0.32421875,49.6875,-20.07044658
0.328125,50.625,-18.85302171
0.33203125,50.42801666,-18.00440058
0.3359375,50.625,-17.72984669
0.33984375,50.82352829,-17.68067285
0.34375,51.5625,-18.27485666
0.34765625,51.5625,-18.36091086
0.3515625,52.5,-17.3360835
0.35546875,53.4375,-17.52048537
0.359375,52.29572296,-20.34090266
0.36328125,52.5,-18.73791024
0.3671875,53.64706039,-17.91834637
0.37109375,53.4375,-20.00041112
0.375,53.4375,-20.77117369
0.37890625,53.4375,-27.69462571
0.3828125,53.4375,-19.80781361
0.38671875,53.4375,-21.61979482
0.390625,52.29572296,-22.73067638
0.39453125,54.58823776,-20.27533755
0.3984375,52.5,-20.62365219
0.40234375,52.5,-21.54603407
0.40625,53.4375,-22.19758734
0.41015625,52.5,-22.11972877
0.4140625,52.29572296,-21.92303345
0.41796875,52.5,-22.17300042
