Time,RPM,TRQU
0,Inf,-7.33406336
0.00390625,127.5,-7.977793524
0.0078125,129.6281891,-7.108683297
0.01171875,128.1871338,-5.75193257
0.015625,129.375,-5.247528264
0.01953125,128.6888428,-5.657682726
0.0234375,127.2514648,-6.936574885
0.02734375,129.375,-6.948868343
0.03125,128.4375,-6.141225406
0.03515625,128.6888428,-6.05926902
0.0390625,128.1871338,-7.043118188
0.04296875,128.4375,-7.653693268
0.046875,129.6281891,-6.596455881
0.05078125,128.1871338,-5.788812944
0.0546875,128.4375,-5.809302041
0.05859375,128.4375,-6.936574885
0.0625,127.7495117,-8.153999755
0.06640625,128.1871338,-6.022388646
0.0703125,128.4375,-5.32948465
0.07421875,127.5,-5.325386831
0.078125,126.5625,-7.994184801
0.08203125,126.5625,-8.530999133
0.0859375,128.4375,-6.645629713
0.08984375,127.7495117,-5.136887142
0.09375,126.3157883,-5.153278419
0.09765625,126.5625,-6.260062167
0.1015625,127.5,-6.530518243
0.10546875,127.7495117,-6.514126965
0.109375,126.3157883,-5.165571877
0.11328125,127.5,-5.993703911
0.1171875,126.8101807,-7.157857129
0.12109375,127.5,-7.260302612
0.125,127.2514648,-6.030584285
0.12890625,127.5,-5.501965591
0.1328125,126.8101807,-5.227039167
0.13671875,127.2514648,-5.956823537
0.140625,127.5,-6.645629713
0.14453125,127.7495117,-6.489540049
0.1484375,127.5,-5.62899799
0.15234375,128.1871338,-4.915604898
0.15625,126.5625,-6.90789015
0.16015625,128.6888428,-7.489780494
0.1640625,128.1871338,-6.817738125
0.16796875,128.4375,-6.231377432
0.171875,128.6888428,-5.526552507
0.17578125,128.4375,-4.800865957
0.1796875,128.1871338,-5.797008583
0.18359375,127.5,-6.903792331
0.1875,129.6281891,-6.272355625
0.19140625,128.1871338,-5.555237243
0.1953125,129.375,-5.809302041
0.19921875,128.4375,-6.871009776
0.203125,128.6888428,-6.678412267
0.20703125,129.1228027,-5.801106402
0.2109375,129.375,-5.833888957
0.21484375,128.6888428,-6.514126965
0.21875,128.1871338,-6.186301419
0.22265625,128.4375,-6.11663849
0.2265625,128.4375,-5.862573692
0.23046875,129.6281891,-4.698420474
0.234375,127.2514648,-7.018531272
0.23828125,128.4375,-7.990086982
0.2421875,128.6888428,-7.170150587
0.24609375,128.1871338,-6.579692075
0.25,129.375,-5.514259049
0.25390625,128.4375,-5.383128831
0.2578125,128.6888428,-6.36660547
0.26171875,127.2514648,-6.911987969
0.265625,128.4375,-6.30104036
0.26953125,128.6888428,-5.579824158
0.2734375,128.1871338,-5.944530079
0.27734375,128.4375,-6.924281427
0.28125,128.4375,-6.333822915
0.28515625,127.7495117,-5.764226028
0.2890625,128.1871338,-6.079758117
0.29296875,127.5,-6.6005537
0.296875,128.6888428,-6.280551264
0.30078125,128.1871338,-5.411813566
0.3046875,128.4375,-5.321289012
0.30859375,128.4375,-5.965019175
0.3125,128.6888428,-7.305378625
0.31640625,128.1871338,-6.251866528
0.3203125,128.4375,-6.219083974
0.32421875,128.4375,-6.460855314
0.328125,129.375,-7.145563671
0.33203125,129.375,-5.300799915
0.3359375,128.4375,-5.202452251
0.33984375,128.6888428,-6.739879557
0.34375,129.1228027,-6.670216629
0.34765625,129.375,-5.641291448
0.3515625,129.375,-5.547041604
0.35546875,129.6281891,-6.54690952
0.359375,129.1228027,-6.944770524
0.36328125,129.375,-7.592225978
0.3671875,129.6281891,-6.887401053
0.37109375,129.375,-5.944530079
0.375,129.1228027,-6.157616684
0.37890625,129.375,-6.030584285
0.3828125,129.6281891,-5.280310818
0.38671875,130.0584869,-5.108202407
0.390625,128.4375,-5.960921356
0.39453125,129.6281891,-11.74480707
0.3984375,129.375,-7.784823486
0.40234375,129.1228027,-6.760368654
0.40625,130.3125,-5.292604276
0.41015625,129.6281891,-5.358541915
0.4140625,129.1228027,-6.780857751
0.41796875,129.375,-7.362748095
0.421875,129.6281891,-5.821595499
0.42578125,129.375,-5.296702096
0.4296875,128.1871338,-7.182444045
0.43359375,129.375,-6.48544223
0.4375,129.6281891,-6.911987969
0.44140625,128.1871338,-7.186541864
0.4453125,129.375,-6.292844722
0.44921875,128.4375,-6.395290205
0.453125,129.6281891,-6.940672705
0.45703125,128.1871338,-6.551007339
0.4609375,129.375,-5.731443474
0.46484375,128.6888428,-5.75193257
0.46875,129.1228027,-5.887160608
0.47265625,128.4375,-6.702999183
0.4765625,128.4375,-6.145323226
0.48046875,128.6888428,-6.633336255
0.484375,128.1871338,-7.14966149
0.48828125,129.375,-6.985748717
0.4921875,128.6888428,-6.251866528
0.49609375,129.1228027,-5.93633444
0.5,129.375,-5.965019175
0.50390625,128.4375,-6.748075196
0.5078125,128.6888428,-8.076141187
0.51171875,129.1228027,-7.309476444
0.515625,128.4375,-6.957063982
0.51953125,128.6888428,-6.887401053
0.5234375,129.1228027,-8.301521251
0.52734375,128.4375,-6.034682104
0.53125,128.4375,-6.924281427
0.53515625,129.6281891,-6.48544223
0.5390625,128.1871338,-6.092051575
0.54296875,128.4375,-6.161714503
0.546875,128.6888428,-6.592358062
0.55078125,128.1871338,-6.087953755
0.5546875,128.4375,-5.924040982
0.55859375,128.4375,-6.588260242
0.5625,128.6888428,-7.370943734
0.56640625,128.1871338,-7.444704482
0.5703125,128.4375,-6.542811701
0.57421875,128.4375,-6.231377432
0.578125,128.4375,-6.378898927
0.58203125,128.4375,-6.235475251
0.5859375,128.4375,-7.407824108
0.58984375,128.6888428,0.396659067
0.59375,128.1871338,-8.940781066
0.59765625,127.5,-7.0881942
0.6015625,128.4375,-6.584162423
0.60546875,128.6888428,-5.608508894
0.609375,128.1871338,-6.198594877
0.61328125,128.4375,-6.629238436
0.6171875,128.6888428,-7.452900121
0.62109375,128.4375,-6.748075196
0.625,128.1871338,-6.141225406
0.62890625,129.375,-5.538845965
0.6328125,128.6888428,-5.837986776
0.63671875,128.1871338,-6.801346847
0.640625,128.4375,-7.743845293
0.64453125,129.6281891,-12.0480457
0.6484375,129.375,-5.21064789
0.65234375,129.1228027,-6.354312012
0.65625,128.4375,-6.247768709
0.66015625,129.6281891,-5.686367461
0.6640625,128.1871338,-7.485682675
0.66796875,128.4375,-6.78495557
0.671875,128.6888428,-5.719150016
0.67578125,128.4375,-6.391192385
0.6796875,128.1871338,-6.214986154
0.68359375,128.4375,-6.469050953
0.6875,128.6888428,-6.883303234
0.69140625,128.1871338,-6.694803545
0.6953125,128.4375,-5.6945631
0.69921875,127.5,-7.69876928
0.703125,128.6888428,-6.866911957
0.70703125,128.1871338,-6.169910142
0.7109375,127.5,-5.616704532
0.71484375,127.7495117,-6.403485843
0.71875,127.2514648,-7.129172394
0.72265625,128.4375,-7.166052768
