Time,RPM,TRQU
0,Inf,-10.64621896
0.00390625,103.6575851,-9.699250171
0.0078125,104.4705963,-9.363228986
0.01171875,104.0625,-9.846771666
0.015625,103.6575851,-10.38395853
0.01953125,105,-9.506652662
0.0234375,104.4705963,-9.756619641
0.02734375,104.0625,-10.9084794
0.03125,105.5252914,-9.21160967
0.03515625,105.4117661,-9.21570749
0.0390625,105,-10.87979467
0.04296875,105,-11.05190308
0.046875,105.5252914,-9.957412788
0.05078125,106.352951,-9.465674469
0.0546875,105,-10.28151304
0.05859375,105.9375,-11.21991367
0.0625,105.9375,-10.71178407
0.06640625,105,-11.17073984
0.0703125,105,-11.3961199
0.07421875,104.5914459,-12.24474103
0.078125,106.352951,-9.965608427
0.08203125,105,-8.79325957
0.0859375,104.0625,-10.40854544
0.08984375,104.0625,-11.9619915
0.09375,104.0625,-10.60114295
0.09765625,105,-8.666227171
0.1015625,103.6575851,-9.777108738
0.10546875,104.4705963,-10.18279285
0.109375,104.0625,-10.01888008
0.11328125,104.0625,-10.45771928
0.1171875,102.7237396,-11.11746819
0.12109375,104.4705963,-11.44119591
0.125,104.0625,-9.576315591
0.12890625,103.6575851,-9.527141759
0.1328125,103.5294113,-11.24040277
0.13671875,104.0625,-5.440498301
0.140625,104.0625,-26.69402451
0.14453125,102.7237396,-10.05166263
0.1484375,104.4705963,-10.69949062
0.15234375,104.0625,-11.19122894
0.15625,102.7237396,-10.41264326
0.16015625,104.4705963,-11.02321834
0.1640625,104.0625,-10.51918657
0.16796875,103.125,-4.169801781
0.171875,103.6575851,-12.15049119
0.17578125,103.5294113,-11.9619915
0.1796875,104.0625,-10.44542582
0.18359375,103.6575851,-8.957172343
0.1875,103.5294113,-14.02393968
0.19140625,103.125,-10.88389249
0.1953125,103.125,-10.59704513
0.19921875,103.6575851,-10.07215173
0.203125,104.4705963,-9.473870107
0.20703125,104.0625,-10.07215173
0.2109375,103.6575851,-10.71997971
0.21484375,103.5294113,-12.15458901
0.21875,104.0625,-11.44529373
0.22265625,105,-9.03503091
0.2265625,103.6575851,-9.40010936
0.23046875,104.4705963,-11.06829436
0.234375,104.0625,-11.53581829
0.23828125,103.6575851,-10.65851242
0.2421875,105,-10.28970868
0.24609375,104.4705963,-10.30200214
0.25,104.0625,-11.87183947
0.25390625,103.6575851,-10.91667504
0.2578125,103.5294113,-12.06443698
0.26171875,104.0625,-12.21195848
0.265625,103.6575851,-11.88413293
0.26953125,104.0625,-8.985857078
0.2734375,103.5294113,-10.28151304
0.27734375,103.125,-13.17531855
0.28125,102.7237396,-12.44553418
0.28515625,105.4117661,-9.82628257
0.2890625,104.0625,-9.535337397
0.29296875,103.125,-10.96584887
0.296875,103.6575851,-11.74070925
0.30078125,104.4705963,-11.78988309
0.3046875,104.0625,-11.61367685
0.30859375,104.0625,-11.08058781
0.3125,104.0625,-11.01092488
0.31640625,103.125,-11.85954601
0.3203125,105,-27.06282825
0.32421875,103.6575851,-10.40444762
0.328125,104.4705963,-10.781447
0.33203125,104.0625,-10.71588189
0.3359375,104.0625,-10.79374046
0.33984375,104.0625,-11.68333978
0.34375,104.0625,-11.56860084
0.34765625,104.0625,-11.02321834
0.3515625,103.6575851,-10.55196912
0.35546875,104.4705963,-12.35947997
0.359375,103.125,-13.51133973
0.36328125,103.125,-12.75734098
0.3671875,103.6575851,-10.77734918
0.37109375,103.5294113,-10.17869503
0.375,103.125,-11.15434856
0.37890625,102.7237396,-11.6874376
0.3828125,103.5294113,-11.07648999
0.38671875,103.125,-10.73227317
0.390625,103.125,-11.06829436
0.39453125,103.6575851,-10.63392551
0.3984375,103.5294113,-10.22377104
0.40234375,103.125,-11.51942701
0.40625,103.6575851,-31.81369097
0.41015625,103.5294113,-11.58499212
0.4140625,105,-9.838576028
0.41796875,103.125,-10.33068688
0.421875,103.6575851,-10.9084794
0.42578125,104.4705963,-10.47411055
0.4296875,103.125,-10.21557541
0.43359375,103.6575851,-12.09312172
0.4375,104.4705963,-12.25293667
0.44140625,104.0625,-10.60933859
0.4453125,104.0625,-10.62163205
0.44921875,102.7237396,-12.45372982
0.453125,104.4705963,-12.07263262
0.45703125,104.0625,-12.27752359
0.4609375,102.7237396,-10.70768625
0.46484375,103.5294113,-12.25293667
0.46875,104.0625,-11.50676102
0.47265625,104.0625,-11.20762021
0.4765625,102.7237396,-10.64212115
0.48046875,104.4705963,-11.63416595
0.484375,103.125,-11.81037218
0.48828125,103.6575851,-10.71178407
0.4921875,104.0625,-10.92077286
0.49609375,104.4705963,-11.48217411
0.5,104.0625,-11.1830333
0.50390625,103.6575851,-11.49446757
0.5078125,104.4705963,-11.3100657
0.51171875,105,-9.932825872
0.515625,102.7237396,-11.10107691
0.51953125,104.0625,-12.31850178
0.5234375,104.4705963,-11.88823075
0.52734375,105,-10.20328195
0.53125,103.6575851,-8.313814709
0.53515625,103.5294113,-12.65862078
0.5390625,104.0625,-12.54388184
0.54296875,104.0625,-11.64645941
0.546875,102.7237396,-11.96608932
0.55078125,103.5294113,-12.59715349
0.5546875,103.125,-12.72008807
0.55859375,104.0625,-10.17459721
0.5625,103.125,-10.96994669
0.56640625,102.1875,-11.9415024
0.5703125,103.125,-11.78168745
0.57421875,102.7237396,-13.31054659
0.578125,102.5882416,-16.72514767
0.58203125,103.125,-11.61777467
0.5859375,104.0625,-10.85930557
0.58984375,102.1875,-11.55220956
0.59375,103.125,-12.88027556
0.59765625,104.0625,-11.8554482
0.6015625,102.7237396,-10.49459965
0.60546875,103.5294113,-10.81422956
0.609375,103.125,-10.98224015
0.61328125,102.1875,-13.48675282
0.6171875,102.7237396,-14.81891663
0.62109375,103.5294113,-12.31850178
0.625,103.125,-7.14966149
0.62890625,102.7237396,-10.97404451
0.6328125,102.5882416,-12.37177343
0.63671875,103.125,-11.61777467
0.640625,103.125,-11.54811175
0.64453125,101.7898865,-11.88413293
0.6484375,103.5294113,-12.28162141
0.65234375,102.1875,-12.55207748
0.65625,102.7237396,-10.45362146
0.66015625,102.5882416,-11.07239217
0.6640625,102.1875,-12.5561753
0.66796875,102.1875,-12.09312172
0.671875,102.7237396,-10.89208812
0.67578125,102.5882416,-11.22810931
0.6796875,102.1875,-11.64236159
0.68359375,101.7898865,-11.66285069
0.6875,103.5294113,-10.9289685
0.69140625,103.125,-12.3021105
0.6953125,102.1875,-11.94560022
0.69921875,102.7237396,-11.33055479
0.703125,102.5882416,-10.71588189
0.70703125,103.125,-10.03527136
0.7109375,102.7237396,-11.17483766
0.71484375,102.5882416,-11.25269622
0.71875,102.1875,-11.7284158
0.72265625,102.1875,-11.8554482
0.7265625,102.7237396,-8.199075767
0.73046875,102.5882416,-11.34284825
0.734375,101.25,-11.2690875
0.73828125,101.7898865,-12.34718651
0.7421875,101.25,-12.56027312
0.74609375,101.6470566,-12.46602328
0.75,102.1875,-12.10131735
0.75390625,100.8560333,-10.59704513
0.7578125,101.6470566,-11.62597031
0.76171875,101.25,-11.78578527
0.765625,100.8560333,-11.01092488
0.76953125,102.1875,-10.92077286
0.7734375,101.6470566,-9.137848923
0.77734375,100.3125,-11.04780526
0.78125,101.7898865,-10.72817535
0.78515625,101.6470566,-11.52352483
0.7890625,101.25,-12.56846876
0.79296875,102.1875,-11.10517473
0.796875,100.8560333,-11.65055723
0.80078125,101.6470566,-11.36743517
0.8046875,102.1875,-11.72431798
0.80859375,102.1875,-10.33888251
0.8125,101.25,-10.07624955
0.81640625,100.3125,-12.03165443
0.8203125,102.1875,-11.97838278
0.82421875,100.8560333,-10.72407753
0.828125,101.6470566,-11.13385946
0.83203125,101.25,-11.32645697
0.8359375,101.25,-11.7284158
0.83984375,100.3125,-12.16688246
0.84375,101.25,-12.03985007
0.84765625,101.25,-11.62597031
0.8515625,100.8560333,-9.797597834
0.85546875,100.7058868,-11.38382644
0.859375,101.25,-11.87593729
0.86328125,101.25,-10.98633797
0.8671875,100.8560333,-12.57256658
0.87109375,102.5882416,-11.01092488
0.875,102.1875,-10.83881647
0.87890625,101.7898865,-10.3142956
0.8828125,102.5882416,-11.59318776
0.88671875,102.1875,-11.44529373
0.890625,103.125,-10.5478713
0.89453125,101.7898865,-11.02321834
0.8984375,103.5294113,-12.90076465
0.90234375,103.125,-10.39215417
0.90625,102.7237396,-9.547630855
0.91015625,103.5294113,-11.55220956
0.9140625,103.125,-12.3021105
0.91796875,103.125,-11.0150227
0.921875,102.7237396,-9.912336776
0.92578125,103.5294113,-12.11361081
0.9296875,102.1875,-12.10541517
0.93359375,102.7237396,-14.94185121
0.9375,102.5882416,-12.39226253
0.94140625,103.125,-11.20762021
0.9453125,102.1875,-10.86340339
0.94921875,101.7898865,-9.33864207
0.953125,102.5882416,-11.7284158
0.95703125,102.1875,-11.36743517
0.9609375,101.7898865,-11.45758719
0.96484375,101.6470566,-10.34298033
0.96875,102.1875,-9.609098145
0.97265625,102.1875,-10.45362146
0.9765625,101.7898865,-12.05624134
0.98046875,101.6470566,-11.52352483
0.984375,101.25,-9.650076339
0.98828125,102.7237396,-9.445185372
0.9921875,101.25,-10.42903454
0.99609375,101.6470566,-11.51532919
1,102.1875,-10.62982769
1.00390625,100.8560333,-10.1090321
1.0078125,101.6470566,-15.57328791
1.01171875,101.25,-10.83471865
1.015625,100.8560333,-10.16230375
1.01953125,101.25,-10.43313236
1.0234375,101.6470566,-11.08058781
1.02734375,101.25,-11.24859841
1.03125,100.8560333,-10.37576289
1.03515625,101.6470566,-11.26498968
1.0390625,101.25,-10.66670806
1.04296875,101.25,-11.0150227
1.046875,100.8560333,-11.53991611
1.05078125,101.6470566,-12.17917592
1.0546875,102.1875,-10.6953928
1.05859375,102.1875,-7.977793524
1.0625,101.25,-9.682858893
1.06640625,101.25,-10.93716414
1.0703125,102.1875,-11.81447
1.07421875,102.7237396,-11.34694607
1.078125,103.5294113,-10.30609996
1.08203125,103.125,-9.596804687
1.0859375,103.125,-9.900043318
1.08984375,103.125,-12.50700147
1.09375,103.125,-12.53158838
1.09765625,105,-17.90569217
1.1015625,103.6575851,-11.30187006
1.10546875,103.5294113,-12.2160563
1.109375,104.0625,-13.57690484
1.11328125,104.0625,-10.37576289
1.1171875,103.6575851,-10.70358843
1.12109375,103.5294113,-12.5356862
1.125,104.0625,-11.49856538
1.12890625,103.6575851,-10.84701211
1.1328125,103.5294113,-12.26932795
1.13671875,103.125,-6.022388646
1.140625,103.125,-12.83929736
1.14453125,102.7237396,-15.21677763
1.1484375,102.5882416,-11.63006813
1.15234375,103.125,-11.21171803
1.15625,102.7237396,-10.35937161
1.16015625,102.5882416,-10.27741522
1.1640625,102.1875,-11.32645697
1.16796875,103.125,-10.79374046
1.171875,101.7898865,-9.932825872
1.17578125,102.5882416,-9.900043318
1.1796875,102.1875,-11.5026632
1.18359375,101.7898865,-10.81013174
1.1875,102.5882416,-12.00296969
1.19140625,102.1875,-10.3142956
1.1953125,103.125,-9.330446431
1.19921875,100.8560333,-10.62163205
1.203125,102.5882416,-11.46578283
1.20703125,102.1875,-0.04590542
1.2109375,101.7898865,-4.526312062
1.21484375,102.5882416,-10.10493428
1.21875,102.1875,-11.36333735
1.22265625,102.1875,-11.01092488
1.2265625,101.7898865,-4.763985583
1.23046875,102.5882416,-12.1955672
1.234375,102.1875,-11.99067623
1.23828125,102.7237396,-10.29790432
1.2421875,102.1875,-9.891847679
1.24609375,101.6470566,-12.22834975
1.25,102.1875,-12.08492608
1.25390625,102.7237396,-9.953314969
1.2578125,103.5294113,-9.961510608
1.26171875,102.1875,-10.87159903
1.265625,101.7898865,-11.61777467
1.26953125,103.125,-10.64212115
1.2734375,103.5294113,-10.781447
1.27734375,103.125,-11.15025074
1.28125,103.6575851,-9.842673847
1.28515625,102.5882416,-10.37166507
1.2890625,103.125,-12.01116533
1.29296875,103.125,-10.85930557
1.296875,102.7237396,-10.781447
1.30078125,103.5294113,-10.30609996
1.3046875,102.1875,-10.60114295
1.30859375,103.125,-11.05190308
1.3125,102.1875,-11.15844638
1.31640625,102.1875,-11.42890246
1.3203125,102.1875,-13.482655
1.32421875,101.7898865,-7.256204793
1.328125,102.5882416,-12.02755661
1.33203125,101.25,-12.2160563
1.3359375,102.1875,-11.22810931
1.33984375,102.1875,-9.531239578
1.34375,100.3125,-11.51942701
1.34765625,101.25,-12.6627186
1.3515625,101.7898865,-10.76915354
1.35546875,101.6470566,-9.629587242
1.359375,100.3125,-10.8019361
1.36328125,101.25,-11.6013834
1.3671875,100.8560333,-9.39601154
1.37109375,102.5882416,-3.6285171
1.375,101.25,-10.99863143
1.37890625,100.8560333,-9.850869486
1.3828125,101.6470566,-10.94945759
1.38671875,101.25,-11.43300028
1.390625,102.1875,-10.73637099
1.39453125,101.7898865,-10.41264326
1.3984375,102.5882416,-10.32658906
1.40234375,101.25,-10.49459965
1.40625,101.7898865,-10.63802333
1.41015625,103.5294113,-10.65031678
1.4140625,101.25,-10.83062083
1.41796875,103.125,-10.32658906
1.421875,101.7898865,-11.24450059
1.42578125,102.5882416,-11.59318776
1.4296875,103.125,-10.86340339
1.43359375,101.7898865,-10.63392551
1.4375,103.5294113,-25.64461024
1.44140625,102.1875,-19.44684477
1.4453125,103.125,-10.53557784
1.44921875,102.7237396,-9.531239578
1.453125,103.5294113,-10.52328438
1.45703125,102.1875,-10.84701211
1.4609375,102.7237396,-10.63392551
1.46484375,104.4705963,-9.850869486
1.46875,103.125,-10.22786886
1.47265625,103.125,-10.63802333
1.4765625,102.7237396,-11.34694607
1.48046875,103.5294113,-10.55606694
1.484375,103.125,-11.00272925
1.48828125,103.6575851,-10.65851242
1.4921875,103.125,-10.05576045
1.49609375,103.5294113,-11.06419654
1.5,103.125,-11.06009872
1.50390625,102.7237396,-10.18689067
1.5078125,103.5294113,-10.64212115
1.51171875,103.125,-10.95765323
1.515625,101.7898865,-10.781447
1.51953125,103.125,-11.56860084
1.5234375,102.5882416,-12.27342577
1.52734375,103.125,-10.87159903
1.53125,101.7898865,-11.1625442
1.53515625,102.5882416,-10.17049939
1.5390625,102.1875,-11.52762265
1.54296875,102.1875,-11.09697909
1.546875,101.7898865,-9.936923692
1.55078125,102.5882416,-10.39215417
1.5546875,102.1875,-11.28138096
1.55859375,102.1875,-10.06805391
1.5625,102.1875,-10.19508631
1.56640625,102.1875,-10.35527379
1.5703125,102.1875,-10.75686009
1.57421875,102.7237396,-9.871358582
1.578125,102.5882416,-10.34707815
1.58203125,102.1875,-12.20376284
1.5859375,103.125,-9.990195343
1.58984375,103.125,-9.535337397
1.59375,102.1875,-10.4208389
1.59765625,103.125,-11.67514414
1.6015625,102.7237396,-10.83881647
1.60546875,103.5294113,-10.03936917
1.609375,103.125,-10.57245822
1.61328125,104.0625,-10.69949062
1.6171875,102.7237396,-7.538954326
1.62109375,103.5294113,-18.50397379
1.625,103.125,-12.25703449
1.62890625,103.6575851,-10.55606694
1.6328125,104.4705963,-9.719739267
1.63671875,103.125,-10.57245822
1.640625,103.125,-10.84291429
1.64453125,103.6575851,-11.03960962
1.6484375,104.4705963,-10.85520775
1.65234375,104.0625,-10.82652301
1.65625,103.6575851,-10.11722774
1.66015625,104.4705963,-10.49869747
1.6640625,104.0625,-11.33875043
1.66796875,104.0625,-11.60957904
1.671875,104.5914459,-8.031065175
1.67578125,105.4117661,-9.711543629
1.6796875,104.0625,-11.35514171
1.68359375,103.6575851,-11.46988065
1.6875,105.4117661,-10.99453361
1.69140625,105,-10.94126196
1.6953125,104.0625,-11.27728314
1.69921875,103.6575851,-15.29873402
1.703125,104.4705963,-10.89618594
1.70703125,104.0625,-11.47807629
1.7109375,103.6575851,-11.30596788
1.71484375,103.5294113,-11.37153299
1.71875,104.0625,-10.59704513
1.72265625,103.125,-11.29777224
1.7265625,101.7898865,-12.05624134
1.73046875,104.4705963,-10.34298033
1.734375,102.1875,-10.08854301
1.73828125,101.7898865,-9.977901885
1.7421875,102.1875,-12.16688246
1.74609375,102.5882416,-10.66670806
1.75,102.1875,-9.936923692
1.75390625,101.7898865,-10.68719716
1.7578125,103.5294113,-11.02321834
1.76171875,102.1875,-10.04756481
1.765625,101.7898865,-10.38395853
1.76953125,101.25,-12.09721954
1.7734375,103.5294113,-11.66285069
1.77734375,102.1875,-10.32658906
1.78125,101.7898865,-8.178586671
1.78515625,102.5882416,-4.23536689
1.7890625,102.1875,-10.90028376
1.79296875,103.125,-11.86774165
1.796875,101.7898865,-9.445185372
1.80078125,103.5294113,-14.32308049
1.8046875,102.1875,-11.40431554
1.80859375,102.1875,-11.44939155
1.8125,103.125,-10.79374046
1.81640625,103.125,-10.00658662
1.8203125,101.25,-12.82290609
1.82421875,101.7898865,-12.91715593
1.828125,103.5294113,-10.64212115
1.83203125,103.125,-9.625489423
1.8359375,102.1875,-10.97814233
1.83984375,103.125,-11.32645697
1.84375,103.125,-16.75383241
1.84765625,103.125,-10.18279285
1.8515625,102.7237396,-10.87569685
1.85546875,104.4705963,-10.74456663
1.859375,103.125,-9.82218475
1.86328125,104.0625,-21.42683656
1.8671875,102.7237396,-12.39636035
1.87109375,104.4705963,-10.76095791
1.875,103.125,-10.25245578
1.87890625,102.7237396,-9.76071746
1.8828125,104.4705963,-10.83471865
1.88671875,103.125,-11.06829436
1.890625,102.1875,-11.10927255
1.89453125,102.7237396,-1.894766995
1.8984375,103.5294113,-11.3100657
1.90234375,103.125,-10.59704513
1.90625,101.7898865,-10.81013174
1.91015625,102.5882416,-12.03575225
1.9140625,102.1875,-11.37972862
1.91796875,102.1875,-11.7284158
1.921875,101.7898865,-11.02321834
1.92578125,101.6470566,-11.17483766
1.9296875,101.25,-11.12156601
1.93359375,101.7898865,-10.07215173
1.9375,100.7058868,-10.81832738
